Input Mass	Matched Mass	Delta	Name	Formula	Ion
865.77259743501	865.7796	.0070	CE(34:6)	C61H101O2	[M+H]+	
865.77259743501	865.7643	.0083	DG(54:6)	C57H101O5	[M+H]+	
865.77259743501	865.7643	.0083	TG(O-54:6)	C57H101O5	[M+H]+	
865.77259743501	865.7643	.0083	TG(P-54:5)	C57H101O5	[M+H]+	
840.776135157632	840.7803	.0042	DG(O-52:6)	C55H102NO4	[M+NH4]+	
840.776135157632	840.7803	.0042	DG(P-52:5)	C55H102NO4	[M+NH4]+	
862.758738149612	862.7623	.0036	PA(O-47:0)	C50H105NO7P	[M+NH4]+	
495.441843162928	495.4408	.0011	MG(28:2)	C31H59O4	[M+H]+	
495.441843162928	495.4460	.0042	DG(59:1)	C62H120O5Na2	[M+2Na]2+	
495.441843162928	495.4460	.0042	TG(O-59:1)	C62H120O5Na2	[M+2Na]2+	
495.441843162928	495.4460	.0042	TG(P-59:0)	C62H120O5Na2	[M+2Na]2+	
